Method,Iterations,SpaceDimension,Rank,FinalResidual,TimeSeconds,MemoryMB
MultiRB,41,312,306,7.37119644567933e-07,9.15010304166667,40.6593017578125
Sketched Krylov-Galerkin,32,215,215,5.92379859682929e-07,5.48485708333333,28.5678100585938
